Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Human immunodeficiency virus 2		isolate: LA40	11709	ASM319104v1	GCA_003191045.1	GenBank	Annotation submitted by 09-NC, Infectious Diseases Research and Virus Discovery, Abbott Labs	Complete Genome	10334	10334	2016-12-09	9		
Human immunodeficiency virus 2		isolate: LA39	11709	ASM319109v1	GCA_003191095.1	GenBank	Annotation submitted by 09-NC, Infectious Diseases Research and Virus Discovery, Abbott Labs	Complete Genome	10208	10208	2016-12-09	9		
Human immunodeficiency virus 2		isolate: LA41	11709	ASM319112v1	GCA_003191125.1	GenBank	Annotation submitted by 09-NC, Infectious Diseases Research and Virus Discovery, Abbott Labs	Complete Genome	10209	10209	2016-12-09	9		
Human immunodeficiency virus 2		isolate: MCN13	11709	ASM319114v1	GCA_003191145.1	GenBank	Annotation submitted by Immunology and Molecular Pathology, Wohl Virion Centre, University College London	Complete Genome	9713	9713	2004-01-21	9		
Human immunodeficiency virus 2		isolate: NNVA	11709	ASM319117v1	GCA_003191175.1	GenBank	Annotation submitted by Department of Neurovirology, National Institute of Mental Health and Neurosciences	Complete Genome	10336	10336	2008-09-03	9		
Human immunodeficiency virus 2		isolate: CRIK 147	11709	ASM319120v1	GCA_003191205.1	GenBank	Annotation submitted by Virology Lab, ACTREC	Complete Genome	9851	9851	2005-12-15	9		
Human immunodeficiency virus 2			11709	ASM319122v1	GCA_003191225.1	GenBank	Annotation submitted by Contact:Masashi Tatsumi National Institute of Infectious Diseases, AIDS Research Center; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	10301	10301	2013-01-15	9		
Human immunodeficiency virus 2			11709	ASM319124v1	GCA_003191245.1	GenBank	Annotation submitted by Contact:Masashi Tatsumi National Institute of Infectious Diseases, AIDS Research Center; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	10235	10235	2009-08-20	9		
Human immunodeficiency virus 2		isolate: LA44	11709	ASM319129v1	GCA_003191295.1	GenBank	Annotation submitted by 09-NC, Infectious Diseases Research and Virus Discovery, Abbott Labs	Complete Genome	10312	10312	2016-12-09	9		
Human immunodeficiency virus 2		isolate: LA43	11709	ASM319132v1	GCA_003191325.1	GenBank	Annotation submitted by 09-NC, Infectious Diseases Research and Virus Discovery, Abbott Labs	Complete Genome	10277	10277	2016-12-09	9		
Human immunodeficiency virus 2		isolate: 01JP-IMCJ/KR020.1	11709	ASM319134v1	GCA_003191345.1	GenBank	Annotation submitted by Contact:Shigeru Kusagawa National Institute of Infectious Diseases, AIDS Research Center; Toyama, 1-23-1, Shinjuku-ku, Tokyo 162-8640, Japan	Complete Genome	9339	9339	2003-07-16	9		
Human immunodeficiency virus 2		isolate: 03CM-510-03	11709	ASM319138v1	GCA_003191385.1	GenBank	Annotation submitted by Abbott Diagnostics	Complete Genome	9089	9089	2007-10-03	9		
Human immunodeficiency virus 2		isolate: 7312a	11709	ASM319140v1	GCA_003191405.1	GenBank	Annotation submitted by F.Gao, Medicine, University of Alabama and Birmingham, WTI 408 UAB Station, Birmingham, AL, USA, 35294-3300 feng@shaw-hahn.dom.uab.edu	Complete Genome	10282	10282	2001-11-13	9		
Human immunodeficiency virus 2			11709	ASM319144v1	GCA_003191445.1	GenBank	Annotation submitted by Contact:Masashi Tatsumi National Institute of Infectious Diseases, AIDS Research Center; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	10222	10222	2013-01-15	9		
Human immunodeficiency virus 2			11709	ASM319148v1	GCA_003191485.1	GenBank	Annotation submitted by Contact:Masashi Tatsumi National Institute of Infectious Diseases, AIDS Research Center; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	10213	10213	2013-01-15	9		
Human immunodeficiency virus 2			11709	ASM319152v1	GCA_003191525.1	GenBank	Annotation submitted by Contact:Masashi Tatsumi National Institute of Infectious Diseases, AIDS Research Center; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	10240	10240	2013-01-15	9		
Human immunodeficiency virus 2		isolate: NWK08	11709	HIV-2 group F	GCA_003191545.1	GenBank	Annotation submitted by Tropical Medicine, Tulane University School of Public Health and Tropical Medicine	Complete Genome	9480	9480	2015-08-26	9		
Human immunodeficiency virus 2		isolate: HIV-07IC-TNP3	11709	ASM319264v1	GCA_003192645.1	GenBank	Annotation submitted by UMI233, IRD and University of Montpellier 1	Complete Genome	9540	9540	2013-12-19	6		
Human immunodeficiency virus 2		isolate: 96FR12034	11709	ASM319266v1	GCA_003192665.1	GenBank	Annotation submitted by Virology Department, Hopital Bichat	Complete Genome	9607	9607	2004-05-26	8		
Human immunodeficiency virus 2		isolate: BEN	11709	ViralProj14991	GCF_000856385.1	RefSeq	Annotation submitted by NCBI RefSeq	Complete Genome	10359	10359	2000-08-01	8		
